Username;Password;Nombre;Apellido;Rut;Email;CentroCostoId;Enabled
Patrick.Montgomery;407330396;Patrick;Montgomery;14414624-7;p.montgomery3688@camanchaca.cl;8;1
Keely.Luna;773727785;Keely;Luna;3582170-8;k-luna@camanchaca.cl;6;0
Gray.Rodriquez;418604397;Gray;Rodriquez;8399160-7;r_gray282@camanchaca.cl;4;1
Gareth.York;970459897;Gareth;York;38336727-1;y-gareth@camanchaca.cl;5;1
Elmo.Reilly;355898909;Elmo;Reilly;47151840-9;e_reilly2796@camanchaca.cl;4;0
Ralph.Solis;503047726;Ralph;Solis;47873754-8;solisralph@camanchaca.cl;7;0
Abel.Campbell;731786065;Abel;Campbell;7858484-K;abel-campbell8763@camanchaca.cl;8;1
Charles.Goodwin;340219168;Charles;Goodwin;46222525-3;c-goodwin2415@camanchaca.cl;7;1
Levi.Douglas;499266082;Levi;Douglas;43729693-6;levi.douglas2350@camanchaca.cl;3;0
Shelley.Townsend;110110710;Shelley;Townsend;26236160-8;townsendshelley@camanchaca.cl;7;0
Ingrid.Flynn;410694730;Ingrid;Flynn;32672509-9;i_flynn@camanchaca.cl;1;0
Melinda.Knowles;718148121;Melinda;Knowles;36917429-0;knowles_melinda896@camanchaca.cl;5;1
Berk.Barr;28287639;Berk;Barr;42495836-0;barrberk9157@camanchaca.cl;2;1
Lionel.Blankenship;113773549;Lionel;Blankenship;44717294-1;blankenshiplionel@camanchaca.cl;6;0
Colleen.Kerr;68235003;Colleen;Kerr;36782854-4;kerr-colleen@camanchaca.cl;1;0
Ahmed.Rowe;980437886;Ahmed;Rowe;668617-6;rowe.ahmed@camanchaca.cl;6;1
Philip.Macdonald;177352024;Philip;Macdonald;32841135-0;macdonaldphilip1861@camanchaca.cl;5;0
Quail.Wilkerson;783234410;Quail;Wilkerson;39360200-7;q.wilkerson6333@camanchaca.cl;4;1
Aaron.Pate;124304658;Aaron;Pate;33371323-3;aaron.pate@camanchaca.cl;8;0
Elton.Dodson;160814335;Elton;Dodson;37982953-8;e.dodson1935@camanchaca.cl;4;1
Drake.Crawford;77263143;Drake;Crawford;33392678-4;drake-crawford@camanchaca.cl;4;0
Ella.Alston;451644577;Ella;Alston;2735810-1;alstonella7627@camanchaca.cl;4;1
Iris.Holt;299843619;Iris;Holt;18545206-9;hiris7451@camanchaca.cl;5;1
Stone.Vinson;863229695;Stone;Vinson;34716342-2;vinson_stone8784@camanchaca.cl;1;1
Otto.Day;250409502;Otto;Day;3478907-K;o.day9623@camanchaca.cl;6;0
Kato.Sanchez;248130383;Kato;Sanchez;17103689-5;k-sanchez@camanchaca.cl;4;0
Norman.Barrera;119780353;Norman;Barrera;2282571-2;barrera_norman1211@camanchaca.cl;1;0
Chester.Buckner;361624741;Chester;Buckner;29363575-7;buckner.chester@camanchaca.cl;1;1
Jerome.Britt;296982063;Jerome;Britt;47113156-3;b.jerome5790@camanchaca.cl;5;1
