Username;Password;Nombre;Apellido;Rut;Email;CentroCostoId;Enabled
Patrick.Montgomery;407330396;Patrick;Montgomery;14414624-7;p.montgomery3688@camanchaca.cl;3;0
Keely.Luna;773727785;Keely;Luna;3582170-8;k-luna@camanchaca.cl;4;1
Gray.Rodriquez;418604397;Gray;Rodriquez;8399160-7;r_gray282@camanchaca.cl;3;1
Gareth.York;970459897;Gareth;York;38336727-1;y-gareth@camanchaca.cl;6;0
Elmo.Reilly;355898909;Elmo;Reilly;47151840-9;e_reilly2796@camanchaca.cl;4;0
Ralph.Solis;503047726;Ralph;Solis;47873754-8;solisralph@camanchaca.cl;1;1
Abel.Campbell;731786065;Abel;Campbell;7858484-K;abel-campbell8763@camanchaca.cl;1;0
Charles.Goodwin;340219168;Charles;Goodwin;46222525-3;c-goodwin2415@camanchaca.cl;5;0
Levi.Douglas;499266082;Levi;Douglas;43729693-6;levi.douglas2350@camanchaca.cl;1;1
Shelley.Townsend;110110710;Shelley;Townsend;26236160-8;townsendshelley@camanchaca.cl;3;1
Ingrid.Flynn;410694730;Ingrid;Flynn;32672509-9;i_flynn@camanchaca.cl;5;1
Melinda.Knowles;718148121;Melinda;Knowles;36917429-0;knowles_melinda896@camanchaca.cl;4;1
Berk.Barr;28287639;Berk;Barr;42495836-0;barrberk9157@camanchaca.cl;1;0
Lionel.Blankenship;113773549;Lionel;Blankenship;44717294-1;blankenshiplionel@camanchaca.cl;3;0
Colleen.Kerr;68235003;Colleen;Kerr;36782854-4;kerr-colleen@camanchaca.cl;4;0
Ahmed.Rowe;980437886;Ahmed;Rowe;668617-6;rowe.ahmed@camanchaca.cl;3;0
Philip.Macdonald;177352024;Philip;Macdonald;32841135-0;macdonaldphilip1861@camanchaca.cl;3;1
Quail.Wilkerson;783234410;Quail;Wilkerson;39360200-7;q.wilkerson6333@camanchaca.cl;5;0
Aaron.Pate;124304658;Aaron;Pate;33371323-3;aaron.pate@camanchaca.cl;6;0
Elton.Dodson;160814335;Elton;Dodson;37982953-8;e.dodson1935@camanchaca.cl;1;0
Drake.Crawford;77263143;Drake;Crawford;33392678-4;drake-crawford@camanchaca.cl;6;0
Ella.Alston;451644577;Ella;Alston;2735810-1;alstonella7627@camanchaca.cl;4;0
Iris.Holt;299843619;Iris;Holt;18545206-9;hiris7451@camanchaca.cl;4;1
Stone.Vinson;863229695;Stone;Vinson;34716342-2;vinson_stone8784@camanchaca.cl;5;0
Otto.Day;250409502;Otto;Day;3478907-K;o.day9623@camanchaca.cl;3;0
Kato.Sanchez;248130383;Kato;Sanchez;17103689-5;k-sanchez@camanchaca.cl;4;1
Norman.Barrera;119780353;Norman;Barrera;2282571-2;barrera_norman1211@camanchaca.cl;4;0
Chester.Buckner;361624741;Chester;Buckner;29363575-7;buckner.chester@camanchaca.cl;6;0
Jerome.Britt;296982063;Jerome;Britt;47113156-3;b.jerome5790@camanchaca.cl;4;1
Julie.Chen;316671520;Julie;Chen;27289775-1;c_julie1600@camanchaca.cl;1;0
Carlos.Guthrie;543883057;Carlos;Guthrie;25110509-K;gcarlos@camanchaca.cl;4;1
Gil.Dunn;801746610;Gil;Dunn;1959262-6;dunn_gil2185@camanchaca.cl;4;1
Forrest.Phillips;618977736;Forrest;Phillips;8411816-8;fphillips8878@camanchaca.cl;1;0
Armand.Mcgowan;592910710;Armand;Mcgowan;30740642-K;mcgowanarmand3662@camanchaca.cl;6;0
Connor.Combs;485527251;Connor;Combs;31108434-8;c.combs3025@camanchaca.cl;5;1
Uma.Simmons;690985188;Uma;Simmons;3653032-4;umasimmons2769@camanchaca.cl;6;0
Illiana.Allen;627559823;Illiana;Allen;17709609-1;allen_illiana@camanchaca.cl;1;0
Igor.Stokes;573979714;Igor;Stokes;16205509-7;stokes_igor5122@camanchaca.cl;1;1
Lareina.Rosa;378064332;Lareina;Rosa;32222498-2;rlareina@camanchaca.cl;5;1
Cody.Stein;370188577;Cody;Stein;13121126-0;cstein@camanchaca.cl;4;0
George.Kirkland;122037405;George;Kirkland;20229613-0;g-kirkland@camanchaca.cl;4;0
Rigel.Spears;333125504;Rigel;Spears;31893169-0;s_rigel@camanchaca.cl;1;0
Maggie.Parks;299168209;Maggie;Parks;31218992-5;parks.maggie@camanchaca.cl;4;1
Cherokee.Owens;511512842;Cherokee;Owens;16504761-3;o-cherokee9296@camanchaca.cl;6;1
Constance.Santana;882063838;Constance;Santana;1541710-2;santana.constance4188@camanchaca.cl;4;1
Castor.Cervantes;384493767;Castor;Cervantes;25172457-1;cervantes.castor@camanchaca.cl;4;0
